Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"DET",162,2418,6093,198,758,724,61,0.083866732,0.238634498,0.166788857,0.29787234,0.246700879,0.316014468,0.413489736,0.31694299542334364,0.32880538193418907,102.6197904990941,4.237206269579474,23.050737374660798,-18.990229981020093,21.868371927210646
"ATH",162,2367,6151,219,733,709,80,0.081612745,0.228580718,0.177573463,0.299216578,0.252929511,0.318048302,0.430502974,0.3239768372277711,0.31773172892658186,104.87058856673865,-3.0269041061401367,32.283260883267324,-40.43281640857458,20.823342716990034
"HOU",162,2383,6087,182,686,655,85,0.077378018,0.213734187,0.148816029,0.294190358,0.249908925,0.315321252,0.398724954,0.31167057249587393,0.3204965566965335,99.79648608939263,-5.54741736628057,-7.0074749221682975,1.0353650785982609,20.82078414141006
"SDP",162,2476,6087,152,702,663,106,0.083785115,0.190734351,0.137536873,0.292829643,0.252396755,0.320854729,0.389933628,0.3110435923917643,0.32596896785497664,102.32762056878914,-1.2319544578704154,15.560326572485877,-20.60924824886024,20.21493791538965
"ATL",162,2349,6186,190,724,701,82,0.092951826,0.221629485,0.154502541,0.290986693,0.244916485,0.320097244,0.399419026,0.3147673247172664,0.3297761272555874,100.71450426304693,-8.300619453191757,-3.1503090103612372,-14.48303330782801,19.26457491714908
"STL",162,2315,6069,148,689,653,89,0.078760916,0.217663536,0.13362783,0.295454545,0.244984354,0.314124855,0.378612184,0.3041562273410498,0.3160262581428435,96.06330286419016,-5.506454160902649,-33.82320031005605,5.149003680795431,17.736471035595518
"SFG",162,2320,6072,173,705,672,68,0.091567852,0.227272727,0.15144186,0.28084667,0.234604651,0.311291122,0.386046511,0.30537820718657804,0.3135260742665129,97.1119629771621,-9.089619947597384,-29.930592236731272,-10.823804292362183,16.510733002203807
"MIA",162,2407,6142,154,709,677,138,0.078476066,0.203028329,0.142882915,0.294792164,0.250405917,0.314225053,0.393288832,0.3088096719716848,0.3251304507099009,95.76427928549236,1.0427010580897331,-29.791403071276267,-15.207451288588345,16.314882461189132
"TBR",162,2363,6045,182,714,680,194,0.077419354,0.231100082,0.149908593,0.302999491,0.251188299,0.31325701,0.401096892,0.3113206932864475,0.31571117299029045,98.15061621519418,13.264805280370638,-0.14264999243420817,-53.044688642024994,15.842196943460339
"MIN",162,2413,6059,191,678,643,114,0.081696649,0.226440006,0.158689249,0.282859338,0.238402061,0.310464539,0.39709131,0.3093728609759398,0.3182235787079784,96.92547046063355,-1.1772007904946804,-23.13314898352702,-31.755528576672077,15.717421480489845
"TEX",162,2395,6046,175,684,658,134,0.080383724,0.219483956,0.146977769,0.276312484,0.23424582,0.302387267,0.381223589,0.29879965729430336,0.31760912676347425,91.87498861113546,5.611711614066735,-52.35268157310373,-4.133826670702547,15.508171518315745
"KCR",162,2435,6008,159,651,638,111,0.072403462,0.182423435,0.149696189,0.280531183,0.247099981,0.308902275,0.39679617,0.30697868593551175,0.326178090354081,92.99203955636166,-4.11214489210397,-53.73641598212306,-6.978358054533601,14.941772266042697
"BAL",162,2364,6020,191,677,643,121,0.080398671,0.242026578,0.15915805,0.284064058,0.235044313,0.304521276,0.394202363,0.3047591680508778,0.31973925867021663,95.96873382771855,-0.04532628570814268,-29.028092370193583,-40.82536962837912,14.049021090963107
"CLE",162,2417,5943,168,643,621,129,0.083123001,0.226148409,0.147457627,0.267931392,0.225800376,0.296415285,0.373258003,0.29209047790938375,0.2988224368892966,87.05235275059458,7.697164545767009,-82.99487399766096,7.348156053572893,13.185188100426277
"CIN",162,2396,6082,167,716,677,105,0.086649128,0.232653732,0.146292217,0.298209718,0.244676945,0.314827018,0.390969162,0.30859385375441056,0.30648252613357657,92.11692542720635,5.3375361591388355,-51.4870467277853,-22.372476895339787,13.15772285531061
"WSN",162,2368,5982,161,687,657,132,0.074055499,0.225844199,0.14699373,0.291645569,0.242161563,0.304092586,0.389155293,0.3023757344533407,0.32327462740588286,92.80983073703567,-0.9566583540290594,-52.0025417841356,-63.79398307856172,8.526456204121605
"LAA",162,2380,6000,226,673,649,88,0.080666666,0.271166666,0.171938966,0.276434195,0.224972087,0.297658862,0.396911053,0.30218798315296963,0.3193981515303735,91.59862737327477,0.012182198537630029,-59.51743727381974,-78.6658456735313,6.987606986174562
"PIT",162,2323,6008,117,583,561,115,0.088215712,0.23668442,0.118697674,0.291365046,0.23144186,0.305124353,0.350139534,0.2897648968635912,0.31316402509463165,82.20079808173,-5.733063644729555,-132.61147980446606,-3.204782322049141,6.566739052530095
"CHW",162,2423,5987,165,647,626,85,0.083180223,0.227826958,0.140970802,0.279351184,0.232471638,0.301510067,0.37344244,0.2964743653272269,0.3120675392401182,88.47575053266169,-8.555671165697277,-89.96773114046002,-56.462437394075096,6.0980754957278585
"COL",162,2346,5908,160,597,581,87,0.066858496,0.259140148,0.149223373,0.298773987,0.236871301,0.292898402,0.386094674,0.29569350877519246,0.3006014172274137,74.43299592362877,-10.360230285674334,-189.48537932451475,-43.35603231750429,-3.7007345848124737
